TIME               EVENT
['4799', '4447836162', '0', '0', 'NONE']
['4799', '4447836162', '0', '0', 'NONE']
['4799', '4447836162', '1', '0', 'NONE']
['4799', '4447836162', '7', '0', 'NONE']
['4799', '4447836162', '0', '0', 'NONE']
['4799', '4447836162', '7', '0', 'NONE']
['4799', '4447836162', '1', '0', 'NONE']
['4799', '4447836162', '0', '0', 'NONE']
['4799', '4447836162', '0', '0', 'NONE']
['4799', '4447836162', '1', '0', 'NONE']
['4799', '4447836162', '7', '0', 'NONE']
['4799', '4447836162', '0', '0', 'NONE']
['4799', '4447836162', '7', '0', 'NONE']
['4799', '4333926404', '54', '0', 'NONE']
['4799', '4333926404', '262', '0', 'NONE']
['4799', '4333926404', '72', '0', 'NONE']
['4799', '4333926404', '72', '0', 'NONE']
['4799', '4333926404', '39', '0', 'NONE']
['4799', '4333926404', '39', '0', 'NONE']
['4799', '4333926404', '12', '0', 'NONE']
['4799', '4333926404', '39', '0', 'NONE']
['4799', '4333926404', '1', '0', 'NONE']
['4799', '4333926404', '0', '0', 'NONE']
['4799', '4333926404', '270', '0', 'NONE']
['4799', '4447836162', '0', '0', 'NONE']
['4799', '4447836162', '46', '0', 'NONE']
['4799', '4447836162', '7', '0', 'NONE']
['4799', '5050087429', '1', '0', 'NONE']
['4799', '5050087429', '232', '0', 'NONE']
['4799', '5050087429', '47', '0', 'NONE']
['4799', '5050087429', '1', '0', 'NONE']
['4799', '5050087429', '202', '0', 'NONE']
['4799', '5050087429', '202', '0', 'NONE']
['4799', '5050087429', '0', '0', 'NONE']
['4799', '5050087429', '202', '0', 'NONE']
['4799', '5050087429', '202', '0', 'NONE']
['4799', '5050087429', '202', '0', 'NONE']
['4799', '5050087429', '202', '0', 'NONE']
['4799', '5050087429', '202', '0', 'NONE']
['4799', '5050087429', '202', '0', 'NONE']
['4799', '5050087429', '202', '0', 'NONE']
['4799', '5050087429', '46', '0', 'NONE']
['4799', '5050087429', '7', '0', 'NONE']
['4799', '5050087429', '7', '0', 'NONE']
['4799', '5050087429', '1', '0', 'NONE']
['4799', '5050087429', '47', '0', 'NONE']
['4799', '5050087429', '7', '0', 'NONE']
['4799', '5050087429', '0', '0', 'NONE']
['4799', '5050087429', '47', '0', 'NONE']
['4799', '5050087429', '46', '0', 'NONE']
['4799', '5050087429', '7', '0', 'NONE']
['4799', '5338413059', '1', '0', 'NONE']
['4799', '5338413059', '47', '0', 'NONE']
['4799', '5338413059', '7', '0', 'NONE']
['4799', '5338413059', '47', '0', 'NONE']
['4799', '5338413059', '1', '0', 'NONE']
['4799', '5338413059', '1', '0', 'NONE']
['4799', '5338413059', '7', '0', 'NONE']
['4799', '5338413059', '0', '0', 'NONE']
['4799', '5338413059', '1', '0', 'NONE']
['4799', '5338413059', '202', '0', 'NONE']
['4799', '5338413059', '202', '0', 'NONE']
['4799', '5338413059', '0', '0', 'NONE']
['4799', '5338413059', '202', '0', 'NONE']
['4799', '5338413059', '7', '0', 'NONE']
['4799', '5338413059', '1', '0', 'NONE']
['4799', '5338413059', '202', '0', 'NONE']
['4799', '5338413059', '202', '0', 'NONE']
['4799', '5338413059', '0', '0', 'NONE']
['4799', '5338413059', '202', '0', 'NONE']
['4799', '5338413059', '202', '0', 'NONE']
['4799', '5338413059', '202', '0', 'NONE']
['4799', '5338413059', '202', '0', 'NONE']
['4799', '5338413059', '1', '0', 'NONE']
['4799', '5338413059', '1', '0', 'NONE']
['4799', '5338413059', '1', '0', 'NONE']
['4799', '5338413059', '7', '0', 'NONE']
['4799', '5338413059', '7', '0', 'NONE']
['4799', '5338413059', '1', '0', 'NONE']
['4799', '5338413059', '7', '0', 'NONE']
['4799', '5338413059', '0', '0', 'NONE']
['4799', '5338413059', '1', '0', 'NONE']
['4799', '5338413059', '202', '0', 'NONE']
['4799', '5338413059', '202', '0', 'NONE']
['4799', '5338413059', '0', '0', 'NONE']
['4799', '5338413059', '202', '0', 'NONE']
['4799', '5338413059', '7', '0', 'NONE']
['4799', '5338413059', '46', '0', 'NONE']
['4799', '5430040580', '1', '0', 'NONE']
['4799', '5430040580', '47', '0', 'NONE']
['4799', '5430040580', '7', '0', 'NONE']
['4799', '5430040580', '47', '0', 'NONE']
['4799', '5430040580', '1', '0', 'NONE']
['4799', '5430040580', '1', '0', 'NONE']
['4799', '5430040580', '7', '0', 'NONE']
['4799', '5430040580', '0', '0', 'NONE']
['4799', '5430040580', '1', '0', 'NONE']
['4799', '5430040580', '7', '0', 'NONE']
['4799', '5430040580', '1', '0', 'NONE']
['4799', '5430040580', '7', '0', 'NONE']
['4799', '5430040580', '0', '0', 'NONE']
['4799', '5430040580', '7', '0', 'NONE']
['4799', '5430040580', '0', '0', 'NONE']
['4799', '5430040580', '7', '0', 'NONE']
['4799', '5338413059', '1', '0', 'NONE']
['4799', '5338413059', '202', '0', 'NONE']
['4799', '5338413059', '202', '0', 'NONE']
['4799', '5338413059', '0', '0', 'NONE']
['4799', '5338413059', '202', '0', 'NONE']
['4799', '5338413059', '7', '0', 'NONE']
['4799', '5338413059', '46', '0', 'NONE']
['4799', '5338413059', '1', '0', 'NONE']
['4799', '5338413059', '202', '0', 'NONE']
['4799', '5338413059', '202', '0', 'NONE']
['4799', '5338413059', '0', '0', 'NONE']
['4799', '5338413059', '202', '0', 'NONE']
['4799', '5338413059', '7', '0', 'NONE']
['4799', '5338413059', '46', '0', 'NONE']
['4799', '5429901317', '1', '0', 'NONE']
['4799', '5429901317', '47', '0', 'NONE']
['4799', '5429901317', '7', '0', 'NONE']
['4799', '5429901317', '47', '0', 'NONE']
['4799', '5429901317', '1', '0', 'NONE']
['4799', '5429901317', '1', '0', 'NONE']
['4799', '5429901317', '7', '0', 'NONE']
['4799', '5429901317', '0', '0', 'NONE']
['4799', '5429901317', '1', '0', 'NONE']
['4799', '5429901317', '7', '0', 'NONE']
['4799', '5429901317', '1', '0', 'NONE']
['4799', '5429901317', '7', '0', 'NONE']
['4799', '5429901317', '0', '0', 'NONE']
['4799', '5429901317', '7', '0', 'NONE']
['4799', '5429901317', '0', '0', 'NONE']
['4799', '5429901317', '7', '0', 'NONE']
['4799', '5338413059', '7', '0', 'NONE']
['4799', '5338413059', '7', '0', 'NONE']
['4799', '4447836162', '47', '0', 'NONE']
['4799', '4447836162', '7', '0', 'NONE']
['4799', '5050087430', '1', '0', 'NONE']
['4799', '5050087430', '47', '0', 'NONE']
['4799', '5050087430', '7', '0', 'NONE']
['4799', '5050087430', '47', '0', 'NONE']
['4799', '5050087430', '1', '0', 'NONE']
['4799', '5050087430', '1', '0', 'NONE']
['4799', '5050087430', '7', '0', 'NONE']
['4799', '5050087430', '0', '0', 'NONE']
['4799', '5050087430', '1', '0', 'NONE']
['4799', '5050087430', '7', '0', 'NONE']
['4799', '5050087430', '1', '0', 'NONE']
['4799', '5050087430', '7', '0', 'NONE']
['4799', '5050087430', '0', '0', 'NONE']
['4799', '5050087430', '7', '0', 'NONE']
['4799', '5050087430', '0', '0', 'NONE']
['4799', '5050087430', '1', '0', 'NONE']
['4799', '5050087430', '47', '0', 'NONE']
['4799', '5050087430', '7', '0', 'NONE']
['4799', '5050087430', '0', '0', 'NONE']
['4799', '5050087430', '39', '0', 'NONE']
['4799', '5050087430', '16', '0', 'NONE']
['4799', '5050087430', '9', '0', 'NONE']
['4799', '5050087430', '11', '0', 'NONE']
['4799', '5050087430', '39', '0', 'NONE']
['4799', '5050087430', '16', '0', 'NONE']
['4799', '5050087430', '16', '0', 'NONE']
['4799', '4333926401', '0', '0', 'NONE']
['4799', '4333926401', '0', '0', 'NONE']
['4799', '4333926401', '0', '0', 'NONE']
['4799', '4333926401', '0', '0', 'NONE']
['4799', '4333926401', '262', '0', 'NONE']
['4799', '4333926401', '202', '0', 'NONE']
['4799', '4333926401', '262', '0', 'NONE']
['4799', '4333926401', '257', '0', 'NONE']
['4799', '4333926401', '262', '0', 'NONE']
['4799', '4333926401', '12', '0', 'NONE']
['4799', '4333926401', '217', '0', 'NONE']
['4799', '4333926401', '217', '0', 'NONE']
['4799', '4333926401', '3', '0', 'NONE']
['4799', '4333926401', '262', '0', 'NONE']
['4799', '4333926401', '257', '0', 'NONE']
['4799', '4333926401', '262', '0', 'NONE']
['4799', '4333926401', '0', '0', 'NONE']
